"admit","paes","nem","rank"
"0",609,6,"Grupo C"
"0",445,5.4,"Grupo C"
"0",227,5.2,"Grupo C"
"0",358,5.1,"Grupo C"
"0",414,5.9,"Grupo B"
"0",358,5.6,"Grupo B"
"0",487,5.4,"Grupo C"
"0",437,5.6,"Grupo D"
"0",470,5.5,"Grupo C"
"0",438,5.5,"Grupo C"
"0",282,5.7,"Grupo C"
"1",540,6.7,"Grupo C"
"0",330,5.4,"Grupo B"
"1",540,6.4,"Grupo A"
"0",470,6.2,"Grupo D"
"0",245,5.8,"Grupo D"
"0",364,5.3,"Grupo C"
"0",429,6,"Grupo C"
"0",341,5.8,"Grupo D"
"1",835,6.7,"Grupo C"
"1",910,5.6,"Grupo C"
"1",540,6.2,"Grupo A"
"0",437,5.7,"Grupo D"
"0",450,5.3,"Grupo A"
"0",519,5.3,"Grupo D"
"1",986,5.8,"Grupo A"
"0",613,6,"Grupo D"
"0",602,6.2,"Grupo D"
"0",395,5.3,"Grupo D"
"1",682,6.4,"Grupo B"
"0",390,4.9,"Grupo D"
"0",503,6.2,"Grupo C"
"0",308,5.3,"Grupo D"
"0",380,5.4,"Grupo D"
"0",427,5.7,"Grupo D"
"0",312,5.5,"Grupo D"
"0",522,6.1,"Grupo C"
"0",467,6.2,"Grupo D"
"0",507,5.5,"Grupo C"
"1",962,6.8,"Grupo A"
"1",962,6,"Grupo C"
"1",522,6.3,"Grupo C"
"0",461,6,"Grupo C"
"0",380,5.3,"Grupo D"
"0",516,5.9,"Grupo D"
"0",507,5.7,"Grupo C"
"1",622,6.8,"Grupo C"
"0",410,5.1,"Grupo C"
"0",331,5.4,"Grupo B"
"0",426,6.2,"Grupo B"
"0",489,5.9,"Grupo D"
"1",486,6.6,"Grupo B"
"0",529,6.1,"Grupo C"
"0",286,5.2,"Grupo C"
"1",414,6.8,"Grupo A"
"1",504,5.8,"Grupo D"
"1",986,6.2,"Grupo B"
"0",362,5.5,"Grupo D"
"0",360,6.1,"Grupo D"
"0",474,5.8,"Grupo D"
"0",395,5.4,"Grupo C"
"0",553,5.7,"Grupo C"
"0",224,5.3,"Grupo D"
"0",408,6,"Grupo C"
"0",353,5.7,"Grupo D"
"1",360,5.9,"Grupo B"
"1",735,6.3,"Grupo A"
"0",447,5.9,"Grupo D"
"0",395,5.4,"Grupo D"
"1",745,6.8,"Grupo D"
"0",411,4.6,"Grupo C"
"1",468,6.8,"Grupo A"
"1",986,6.8,"Grupo B"
"0",292,5.1,"Grupo D"
"1",580,6.8,"Grupo A"
"0",198,5,"Grupo C"
"0",269,5.2,"Grupo D"
"0",458,5.4,"Grupo B"
"1",504,6.3,"Grupo A"
"1",486,6.3,"Grupo C"
"0",535,6.2,"Grupo B"
"0",488,6,"Grupo D"
"0",298,6.1,"Grupo B"
"1",396,6.3,"Grupo A"
"0",313,5.5,"Grupo C"
"0",455,5.4,"Grupo D"
"0",470,6.3,"Grupo D"
"0",426,5.6,"Grupo D"
"0",459,5.6,"Grupo B"
"0",486,5.8,"Grupo D"
"0",514,5.3,"Grupo A"
"0",609,6.4,"Grupo D"
"0",244,5,"Grupo D"
"0",510,5.6,"Grupo B"
"0",425,5.7,"Grupo D"
"0",482,5.7,"Grupo B"
"1",540,6.4,"Grupo C"
"0",364,5.6,"Grupo D"
"1",723,6.8,"Grupo B"
"1",622,6.5,"Grupo C"
"1",486,6.2,"Grupo B"
"1",682,5.9,"Grupo A"
"0",526,5.3,"Grupo D"
"1",540,6.3,"Grupo C"
"0",371,5.4,"Grupo D"
"0",438,5.5,"Grupo D"
"0",381,4.9,"Grupo D"
"0",541,5.6,"Grupo B"
"0",417,4.9,"Grupo D"
"0",455,5.6,"Grupo D"
"0",316,5.8,"Grupo D"
"1",642,6.7,"Grupo B"
"1",522,6.4,"Grupo C"
"0",474,5.7,"Grupo D"
"1",781,6.4,"Grupo D"
"0",268,5.2,"Grupo C"
"1",522,6,"Grupo A"
"0",423,5.5,"Grupo C"
"0",481,5.1,"Grupo D"
"0",372,5.4,"Grupo C"
"0",529,6.3,"Grupo D"
"1",622,6,"Grupo C"
"0",258,5.8,"Grupo B"
"1",486,6.6,"Grupo C"
"1",622,6.6,"Grupo B"
"0",126,5.2,"Grupo C"
"1",656,6.7,"Grupo A"
"0",297,5.2,"Grupo D"
"0",428,5.8,"Grupo C"
"0",605,6.4,"Grupo B"
"0",484,5.5,"Grupo D"
"1",642,6.4,"Grupo C"
"1",522,5.9,"Grupo B"
"0",365,5.4,"Grupo C"
"0",381,5.1,"Grupo A"
"1",622,6.2,"Grupo A"
"1",636,6.5,"Grupo A"
"0",268,5.5,"Grupo A"
"1",723,6.5,"Grupo A"
"0",347,5.7,"Grupo C"
"0",438,5.9,"Grupo C"
"1",580,6,"Grupo A"
"0",423,5.4,"Grupo D"
"1",432,5.7,"Grupo D"
"1",468,6.4,"Grupo A"
"1",986,6.3,"Grupo C"
"0",429,5.6,"Grupo D"
"1",642,6.8,"Grupo C"
"0",392,5.6,"Grupo A"
"0",396,5.5,"Grupo B"
